chain,draw,beta,estimate
0,144,0,13.497902261502231
0,144,1,1.1852487823500568
0,145,0,13.476637620408601
0,145,1,1.0721172916516526
0,146,0,13.56783101883886
0,146,1,0.3984490193506303
0,147,0,13.488655627533271
0,147,1,1.099415626681382
0,148,0,13.521240981021275
0,148,1,0.6677181008575602
0,149,0,13.552777901984618
0,149,1,0.562466438407521
0,150,0,13.51881216413464
0,150,1,0.880176531944952
0,151,0,13.552530710315942
0,151,1,0.4919483272504986
0,152,0,13.584768218542292
0,152,1,0.22061644336637887
0,153,0,13.541983454928664
0,153,1,0.6080687012083463
0,154,0,13.531952253062714
0,154,1,0.6879227177681634
0,155,0,13.547860606670621
0,155,1,0.5405258162576284
0,156,0,13.55997257099407
0,156,1,0.4180980067177498
0,157,0,13.521895977377259
0,157,1,0.8523384063597683
0,158,0,13.56083137076889
0,158,1,0.42015638824216983
0,159,0,13.53483849540962
0,159,1,0.7689539245338224
0,160,0,13.564806092236095
0,160,1,0.40502677909312046
0,161,0,13.53767662887931
0,161,1,0.6025306651281221
0,162,0,13.528837748361171
0,162,1,0.6124571453810681
0,163,0,13.522151267750306
0,163,1,0.8678647884316296
0,164,0,13.533591540887834
0,164,1,0.7056748247805603
0,165,0,13.53720566558331
0,165,1,0.7681177880582843
0,166,0,13.541668345377301
0,166,1,0.5820367213072943
0,167,0,13.502686338412614
0,167,1,0.9421142862948676
0,168,0,13.541846938531764
0,168,1,0.7160784604325469
0,169,0,13.550160200322418
0,169,1,0.6155468490299965
0,170,0,13.495742703007249
0,170,1,0.879537794147574
0,171,0,13.608510346298964
0,171,1,0.0013495839490316576
0,172,0,13.476354155374604
0,172,1,1.3089973373655401
0,173,0,13.466286900291408
0,173,1,1.3557674838467408
0,174,0,13.483888282927664
0,174,1,1.054935377524172
0,175,0,13.529869181037665
0,175,1,0.7689863007758903
0,176,0,13.540862565519683
0,176,1,0.6422349074027934
0,177,0,13.479077059929871
0,177,1,1.188146408628335
0,178,0,13.608779162648792
0,178,1,-0.0012159886982641222
0,179,0,13.515264612226334
0,179,1,0.9116780764719505
0,180,0,13.553797488675077
0,180,1,0.47675237263412945
0,181,0,13.5544436780275
0,181,1,0.48214476090092373
0,182,0,13.54366171681914
0,182,1,0.6521763079908964
0,183,0,13.524079776557512
0,183,1,0.7521005988642674
0,184,0,13.567416689907954
0,184,1,0.412043630893724
0,185,0,13.51002692737591
0,185,1,0.8231428411693256
0,186,0,13.537202686121374
0,186,1,0.6647918846654699
0,187,0,13.53135841161198
0,187,1,0.6277059614346441
0,188,0,13.508817281445042
0,188,1,0.7756250003061181
0,189,0,13.57640270759166
0,189,1,0.32682206407937286
0,190,0,13.520648189712155
0,190,1,0.7843354938879723
0,191,0,13.512130586082227
0,191,1,0.8893162249813635
0,192,0,13.496780670436493
0,192,1,0.976480056516044
0,193,0,13.574999357725961
0,193,1,0.3369702499962504
0,194,0,13.582510692631795
0,194,1,0.2671933203446599
0,195,0,13.472065483724394
0,195,1,1.307986197353118
0,196,0,13.546177538188804
0,196,1,0.581072097191486
0,197,0,13.578371745111362
0,197,1,0.28175394670783793
0,198,0,13.49975096179189
0,198,1,1.0222224670530902
0,199,0,13.528502385137257
0,199,1,0.7140134750173402
0,200,0,13.53633432722098
0,200,1,0.7231543035883502
0,201,0,13.52755055431997
0,201,1,0.7238335319322209
0,202,0,13.49260334460712
0,202,1,1.0611478774473198
0,203,0,13.55985098288719
0,203,1,0.3943220187841384
0,204,0,13.469788331038115
0,204,1,1.4394042727907586
0,205,0,13.51920549201607
0,205,1,0.8785638658292669
0,206,0,13.518951446364492
0,206,1,0.7983617918236237
0,207,0,13.538678379132024
0,207,1,0.6817717374478398
0,208,0,13.49238064245806
0,208,1,0.9109442519844294
0,209,0,13.58772513223668
0,209,1,0.18720059573856013
0,210,0,13.487334463796143
0,210,1,1.0879894048823007
0,211,0,13.493021832749596
0,211,1,1.0124151493739861
0,212,0,13.526308562008794
0,212,1,0.7498703727783491
0,213,0,13.552311585823066
0,213,1,0.6510291455682015
0,214,0,13.533595823174778
0,214,1,0.6519023325353936
0,215,0,13.595570823031421
0,215,1,0.12053600833151341
0,216,0,13.4693958064408
0,216,1,1.0913081612358355
0,217,0,13.515874962374678
0,217,1,0.843146705638003
0,218,0,13.56135810018462
0,218,1,0.4275855376038005
0,219,0,13.509253883396747
0,219,1,0.8736206422077355
0,220,0,13.50031663439612
0,220,1,1.0459132468093264
0,221,0,13.506714409097123
0,221,1,0.9401352871544425
0,222,0,13.52389046536753
0,222,1,0.8763130169178485
0,223,0,13.506757730103486
0,223,1,0.9483439663490393
0,224,0,13.557539083719488
0,224,1,0.5210260456608149
0,225,0,13.556922927171934
0,225,1,0.5216807336623456
0,226,0,13.494700098044332
0,226,1,1.0588037200599125
0,227,0,13.538118397359652
0,227,1,0.6415933210744438
0,228,0,13.509525215931717
0,228,1,0.9626118091767533
0,229,0,13.538167841395376
0,229,1,0.6752370434269148
0,230,0,13.568443856803011
0,230,1,0.34944497775127276
0,231,0,13.550268707099736
0,231,1,0.5076579186996646
0,232,0,13.554130040661947
0,232,1,0.5846163827006583
0,233,0,13.519588318750122
0,233,1,0.7179070826698758
0,234,0,13.55478055858784
0,234,1,0.5070175232002627
0,235,0,13.55292614486995
0,235,1,0.5169170691235536
0,236,0,13.5434737590995
0,236,1,0.6306213219651035
0,237,0,13.533066303905594
0,237,1,0.6988129459192327
0,238,0,13.53393968037379
0,238,1,0.6614006126412828
0,239,0,13.528497990402895
0,239,1,0.6560203965844539
0,240,0,13.509389424230905
0,240,1,0.940426832166269
0,241,0,13.554842278275814
0,241,1,0.39880013578268053
0,242,0,13.505691396274687
0,242,1,0.7889485775160555
0,243,0,13.522284161760453
0,243,1,0.7481640110909402
0,244,0,13.532266879545894
0,244,1,0.7840069158602154
0,245,0,13.492416827131951
0,245,1,0.9084345889426703
0,246,0,13.46709018250496
0,246,1,1.2659055583366499
0,247,0,13.531336367344146
0,247,1,0.7153489120719886
0,248,0,13.589134290574137
0,248,1,0.17303052135714467
0,249,0,13.50179045961216
0,249,1,1.0147431925385986
0,250,0,13.592332821237834
0,250,1,0.14177990715631955
0,251,0,13.46871805714929
0,251,1,1.2878331247551347
0,252,0,13.576517952515552
0,252,1,0.2690522316117502
0,253,0,13.466420083184252
0,253,1,1.2106491124272962
0,254,0,13.560669732825255
0,254,1,0.4295638528240565
0,255,0,13.510727381617555
0,255,1,0.8560414117780267
0,256,0,13.5251075513232
0,256,1,0.7330950069567242
0,257,0,13.528617820329572
0,257,1,0.7744536766548141
0,258,0,13.491485167352694
0,258,1,1.0941379051669597
0,259,0,13.535717747526288
0,259,1,0.6736491835985965
0,260,0,13.560921466005109
0,260,1,0.3888851810798326
0,261,0,13.517336309600314
0,261,1,0.9897668356111371
0,262,0,13.538047037117725
0,262,1,0.5500710559188098
0,263,0,13.583301894960401
0,263,1,0.21909740031375957
0,264,0,13.575085305276938
0,264,1,0.36983475315290837
0,265,0,13.50199129307324
0,265,1,1.1082803353161788
0,266,0,13.59807784362128
0,266,1,0.1002860486652875
0,267,0,13.512842447527218
0,267,1,0.8992238658241006
0,268,0,13.566500476709447
0,268,1,0.39287952222349404
0,269,0,13.517382506652474
0,269,1,0.8428881590397898
0,270,0,13.52307623028139
0,270,1,0.8450864780241718
0,271,0,13.513324120265544
0,271,1,0.90455922361437
0,272,0,13.53233018784343
0,272,1,0.6738921759039141
0,273,0,13.507149659615607
0,273,1,0.9187944002732791
0,274,0,13.564693583498055
0,274,1,0.4102983601053196
0,275,0,13.53876398535974
0,275,1,0.6810798363738373
0,276,0,13.499793083308074
0,276,1,1.05106753626626
0,277,0,13.576392552231743
0,277,1,0.266292639539881
0,278,0,13.481868434491126
0,278,1,1.1646565023149256
0,279,0,13.544644069463157
0,279,1,0.6206212385932335
0,280,0,13.486500714326665
0,280,1,1.174832637943531
0,281,0,13.653279558567586
0,281,1,-0.3976185421534229
0,282,0,13.450544307576182
0,282,1,1.4388611152776447
0,283,0,13.577974124922017
0,283,1,0.31930685440311674
0,284,0,13.474845956411253
0,284,1,1.2710239097930236
0,285,0,13.530685684496458
0,285,1,0.636779962539688
0,286,0,13.506419723100075
0,286,1,0.9167897873653135
0,287,0,13.514595836975202
0,287,1,0.8613556356705167
0,288,0,13.542740153238439
0,288,1,0.6453473450521513
0,289,0,13.524593909552971
0,289,1,0.7132033699481323
0,290,0,13.530416650580426
0,290,1,0.6826695536818964
0,291,0,13.540897243860062
0,291,1,0.712909046491008
0,292,0,13.458304557950742
0,292,1,1.2551124770518556
0,293,0,13.575429165375954
0,293,1,0.3326701315964536
0,294,0,13.579406098864366
0,294,1,0.26758642350338596
0,295,0,13.533648455390207
0,295,1,0.6941039372676419
0,296,0,13.527583765863332
0,296,1,0.8064281788313197
0,297,0,13.54283391635787
0,297,1,0.6057892064719584
0,298,0,13.556279692671932
0,298,1,0.4505871476747349
0,299,0,13.498912119147558
0,299,1,1.27488496793567
0,300,0,13.490623648861398
